tempo                     vel                         tempo            pos                tempo               in                    tempo         esf
                       744                    0,541992              744            5,55664                 744                     6           744         1,29202
                       745                    0,532227              745            5,62012                 745                     6           745         1,29801
                       746                    0,527344              746            5,68359                 746                     6           746         1,30075
                       747                    0,512695              747            5,74219                 747                     6           747         1,30911
                       748                    0,517578              748            5,80566                 748                     6           748         1,30541
                       749                    0,498047              749            5,87402                 749                     6           749         1,31643
                       750                    0,512695              750            5,93262                 750                     6           750         1,30656
                       751                    0,507813              751            6,00098                 751                     6           751          1,3089
                       752                     0,50293              752            6,05469                 752                     6           752         1,31113
                       753                    0,507813              753            6,11328                 753                     6           753         1,30745
                       754                    0,517578              754            6,17676                 754                     6           754         1,30114
                       755                    0,522461              755            6,24512                 755                     6           755         1,29812
                       756                    0,527344              756            6,30371                 756                     6           756         1,29529
                       757                    0,537109              757            6,38184                 757                     6           757         1,28973
                       758                    0,541992              758             6,4502                 758                     6           758         1,28738
                       759                    0,541992              759            6,50391                 759                     6           759         1,28805
                       760                    0,556641              760            6,58203                 760                     6           760         1,27998
                       761                    0,561523              761            6,65039                 761                     6           761         1,27815
                       762                    0,556641              762            6,71387                 762                     6           762         1,28217
                       763                    0,551758              763            6,78223                 763                     6           763         1,28591
                       764                    0,498047              764            6,86035                 764                     6           764         1,31833
                       765                    0,561523              765            6,93359                 765                     6           765         1,27933
                       766                    0,566406              766            6,98242                 766                     6           766         1,27745
                       767                    0,546875              767            7,06543                 767                     6           767         1,29011
                       768                    0,541992              768            7,11914                 768                     6           768         1,29329
                       769                    0,541992              769             7,1875                 769                     6           769         1,29337
                       770                    0,532227              770            7,26074                 770                     6           770         1,29923
                       771                    0,527344              771            7,33399                 771                     6           771         1,30184
                       772                    0,527344              772             7,3877                 772                     6           772         1,30141
                       773                    0,517578              773            7,45117                 773                     6           773         1,30682
                       774                    0,527344              774            7,51465                 774                     6           774         1,30034
                       775                    0,498047              775            7,56836                 775                     6           775         1,31742
                       776                    0,517578              776            7,62695                 776                     6           776         1,30456
                       777                    0,507813              777            7,67578                 777                     6           777         1,30988
                       778                    0,507813              778            7,75391                 778                     6           778         1,30911
                       779                    0,517578              779            7,79785                 779                     6           779         1,30263
                       780                    0,522461              780            7,88086                 780                     6           780         1,29946
                       781                    0,522461              781            7,94434                 781                     6           781         1,29939
                       782                    0,532227              782            7,99805                 782                     6           782         1,29353
                       783                    0,532227              783            8,06641                 783                     6           783         1,29382
