Amostra - Velocidade C/AI0+	Amplitude - Velocidade C/AI0+	Amostra - Set-point	Amplitude - Set-point	Amostra - Esf controle	Amplitude - Esf controle
2206	0,146484	2206	0	2206	-6,2479
2207	0,0878906	2207	0	2207	-3,71656
2208	0,0634766	2208	0	2208	-2,57786
2209	0,0634766	2209	0	2209	-2,38909
2210	0,0488281	2210	0	2210	-1,72431
2211	-0,15625	2211	0	2211	5,51859
2212	-0,268555	2212	0	2212	9,11686
2213	-0,268555	2213	0	2213	8,64357
2214	-0,263672	2214	0	2214	8,08623
2215	-0,136719	2215	0	2215	3,35588
2216	0,253906	2216	0	2216	-10
2217	0,317383	2217	0	2217	-10
2218	0,263672	2218	0	2218	-9,12243
2219	0,258789	2219	0	2219	-8,45649
2220	0,263672	2220	0	2220	-8,23032
2221	-0,302734	2221	0	2221	10
2222	-0,400391	2222	0	2222	10
2223	-0,449219	2223	0	2223	10
2224	-0,454102	2224	0	2224	10
2225	-0,0244141	2225	0	2225	-0,987645
2226	0,166016	2226	0	2226	-7,33479
2227	0,258789	2227	0	2227	-9,96545
2228	0,185547	2228	0	2228	-6,74313
2229	0,19043	2229	0	2229	-6,50548
2230	0,19043	2230	0	2230	-6,16246
2231	0,19043	2231	0	2231	-5,88181
2232	-0,288086	2232	0	2232	10
2233	-0,493164	2233	0	2233	10
2234	-0,561523	2234	0	2234	10
2235	-0,561523	2235	0	2235	10
2236	-0,556641	2236	0	2236	10
2237	-0,0439453	2237	0	2237	-1,55574
2238	0,424805	2238	0	2238	-10
2239	0,444336	2239	0	2239	-10
2240	0,395508	2240	0	2240	-10
2241	0,258789	2241	0	2241	-8,43758
2242	0,258789	2242	0	2242	-8,04474
2243	-0,371094	2243	0	2243	10
2244	-0,424805	2244	0	2244	10
2245	-0,541992	2245	0	2245	10
2246	-0,537109	2246	0	2246	10
2247	-0,541992	2247	0	2247	10
2248	-0,317383	2248	0	2248	8,17663
2249	0,288086	2249	0	2249	-10
2250	0,410156	2250	0	2250	-10
2251	0,34668	2251	0	2251	-10
2252	0,34668	2252	0	2252	-10
2253	0,131836	2253	0	2253	-3,87794
2254	0,126953	2254	0	2254	-3,58414
2255	-0,332031	2255	0	2255	10
2256	-0,46875	2256	0	2256	10
2257	-0,46875	2257	0	2257	10
2258	-0,46875	2258	0	2258	10
2259	-0,0292969	2259	0	2259	-1,1562
2260	0,151367	2260	0	2260	-7,11094
2261	0,317383	2261	0	2261	-10
2262	0,244141	2262	0	2262	-8,88656
2263	0,244141	2263	0	2263	-8,34749
2264	0,244141	2264	0	2264	-7,90642
2265	-0,307617	2265	0	2265	10
2266	-0,449219	2266	0	2266	10
2267	-0,444336	2267	0	2267	10
2268	-0,454102	2268	0	2268	10
2269	-0,0439453	2269	0	2269	-0,515128
2270	0,00976563	2270	0	2270	-2,0989
2271	0,268555	2271	0	2271	-10
2272	0,234375	2272	0	2272	-8,81052
2273	0,234375	2273	0	2273	-8,2422
2274	0,229492	2274	0	2274	-7,6071
2275	-0,292969	2275	0	2275	10
2276	-0,327148	2276	0	2276	10
2277	-0,473633	2277	0	2277	10
2278	-0,512695	2278	0	2278	10
2279	-0,0244141	2279	0	2279	-1,27177
2280	0,117188	2280	0	2280	-5,86613
2281	0,102539	2281	0	2281	-4,80602
2282	0,175781	2282	0	2282	-6,93608
2283	0,180664	2283	0	2283	-6,62028
2284	0,180664	2284	0	2284	-6,21332
2285	-0,283203	2285	0	2285	10
2286	-0,27832	2286	0	2286	9,48998
2287	-0,424805	2287	0	2287	10
2288	-0,429688	2288	0	2288	10
2289	-0,419922	2289	0	2289	10
2290	-0,0537109	2290	0	2290	-0,546469
2291	0,292969	2291	0	2291	-10
2292	0,473633	2292	0	2292	-10
2293	0,429688	2293	0	2293	-10
2294	0,283203	2294	0	2294	-9,05655
