Amostra - Velocidade C/AI0+	Amplitude - Velocidade C/AI0+	Amostra - Set-point	Amplitude - Set-point	Amostra - Esf controle	Amplitude - Esf controle
3215	-0,0341797	3215	0	3215	0,70728
3216	-0,0439453	3216	0	3216	0,90936
3217	-0,0488281	3217	0	3217	1,0104
3218	-0,0488281	3218	0	3218	1,0104
3219	-0,0390625	3219	0	3219	0,80832
3220	-0,0341797	3220	0	3220	0,70728
3221	-0,0292969	3221	0	3221	0,60624
3222	-0,0390625	3222	0	3222	0,80832
3223	-0,0390625	3223	0	3223	0,80832
3224	-0,0390625	3224	0	3224	0,80832
3225	-0,0390625	3225	0	3225	0,80832
3226	-0,0341797	3226	0	3226	0,70728
3227	0	3227	0	3227	0
3228	0	3228	0	3228	0
3229	0	3229	0	3229	0
3230	0,00488281	3230	0	3230	-0,10104
3231	0,00976563	3231	0	3231	-0,20208
3232	-0,0244141	3232	0	3232	0,5052
3233	-0,0292969	3233	0	3233	0,60624
3234	-0,0292969	3234	0	3234	0,60624
3235	-0,0537109	3235	0	3235	1,11144
3236	-0,0488281	3236	0	3236	1,0104
3237	-0,0537109	3237	0	3237	1,11144
3238	-0,0439453	3238	0	3238	0,90936
3239	-0,0439453	3239	0	3239	0,90936
3240	-0,0390625	3240	0	3240	0,80832
3241	-0,0439453	3241	0	3241	0,90936
3242	-0,0341797	3242	0	3242	0,70728
3243	-0,0341797	3243	0	3243	0,70728
3244	-0,0292969	3244	0	3244	0,60624
3245	-0,0292969	3245	0	3245	0,60624
3246	-0,00976563	3246	0	3246	0,20208
3247	-0,00488281	3247	0	3247	0,10104
3248	-0,00976563	3248	0	3248	0,20208
3249	0	3249	0	3249	0
3250	-0,00488281	3250	0	3250	0,10104
3251	-0,0244141	3251	0	3251	0,5052
3252	-0,0292969	3252	0	3252	0,60624
3253	-0,0244141	3253	0	3253	0,5052
3254	-0,0390625	3254	0	3254	0,80832
3255	-0,0341797	3255	0	3255	0,70728
3256	-0,0341797	3256	0	3256	0,70728
3257	-0,0195313	3257	0	3257	0,40416
3258	-0,0195313	3258	0	3258	0,40416
3259	-0,0244141	3259	0	3259	0,5052
3260	-0,0244141	3260	0	3260	0,5052
3261	-0,0244141	3261	0	3261	0,5052
3262	-0,0341797	3262	0	3262	0,70728
3263	-0,0390625	3263	0	3263	0,80832
3264	-0,0390625	3264	0	3264	0,80832
3265	-0,0195313	3265	0	3265	0,40416
3266	-0,0195313	3266	0	3266	0,40416
3267	0,00488281	3267	0	3267	-0,10104
3268	0	3268	0	3268	0
3269	0	3269	0	3269	0
3270	-0,0195313	3270	0	3270	0,40416
3271	-0,0195313	3271	0	3271	0,40416
3272	-0,0244141	3272	0	3272	0,5052
3273	-0,0488281	3273	0	3273	1,0104
3274	-0,0488281	3274	0	3274	1,0104
3275	-0,0488281	3275	0	3275	1,0104
3276	-0,0341797	3276	0	3276	0,70728
3277	-0,0341797	3277	0	3277	0,70728
3278	-0,0341797	3278	0	3278	0,70728
3279	-0,0292969	3279	0	3279	0,60624
3280	-0,0341797	3280	0	3280	0,70728
3281	-0,0292969	3281	0	3281	0,60624
3282	-0,0439453	3282	0	3282	0,90936
3283	-0,0488281	3283	0	3283	1,0104
3284	-0,0439453	3284	0	3284	0,90936
3285	-0,0195313	3285	0	3285	0,40416
3286	-0,0146484	3286	0	3286	0,30312
3287	0,0146484	3287	0	3287	-0,30312
3288	0,00488281	3288	0	3288	-0,10104
3289	0	3289	0	3289	0
3290	0	3290	0	3290	0
3291	0	3291	0	3291	0
3292	-0,0390625	3292	0	3292	0,80832
3293	-0,0341797	3293	0	3293	0,70728
3294	-0,0341797	3294	0	3294	0,70728
3295	-0,0439453	3295	0	3295	0,90936
3296	-0,0488281	3296	0	3296	1,0104
3297	-0,0439453	3297	0	3297	0,90936
3298	-0,0390625	3298	0	3298	0,80832
3299	-0,0390625	3299	0	3299	0,80832
3300	-0,0390625	3300	0	3300	0,80832
3301	-0,0488281	3301	0	3301	1,0104
3302	-0,0439453	3302	0	3302	0,90936
3303	-0,0488281	3303	0	3303	1,0104
3304	-0,0244141	3304	0	3304	0,5052
3305	-0,0244141	3305	0	3305	0,5052
3306	0,0634766	3306	0	3306	-1,31352
3307	0,0244141	3307	0	3307	-0,5052
3308	0,00976563	3308	0	3308	-0,20208
3309	0,0195313	3309	0	3309	-0,40416
3310	0,0244141	3310	0	3310	-0,5052
3311	-0,0390625	3311	0	3311	0,80832
3312	-0,0537109	3312	0	3312	1,11144
3313	-0,0439453	3313	0	3313	0,90936
3314	-0,0341797	3314	0	3314	0,70728
3315	-0,0683594	3315	0	3315	1,41456
3316	-0,078125	3316	0	3316	1,61664
3317	-0,0537109	3317	0	3317	1,11144
3318	-0,078125	3318	0	3318	1,61664
3319	-0,0341797	3319	0	3319	0,70728
3320	-0,0390625	3320	0	3320	0,80832
3321	-0,0195313	3321	0	3321	0,40416
3322	-0,0292969	3322	0	3322	0,60624
3323	0,00976563	3323	0	3323	-0,20208
3324	-0,00488281	3324	0	3324	0,10104
3325	0,00976563	3325	0	3325	-0,20208
3326	0,00488281	3326	0	3326	-0,10104
3327	0	3327	0	3327	0
3328	0,00488281	3328	0	3328	-0,10104
3329	-0,00488281	3329	0	3329	0,10104
3330	-0,0390625	3330	0	3330	0,80832
3331	-0,0488281	3331	0	3331	1,0104
3332	-0,0390625	3332	0	3332	0,80832
3333	-0,0488281	3333	0	3333	1,0104
3334	-0,0634766	3334	0	3334	1,31352
3335	-0,0439453	3335	0	3335	0,90936
3336	-0,0244141	3336	0	3336	0,5052
3337	-0,0244141	3337	0	3337	0,5052
3338	-0,0195313	3338	0	3338	0,40416
3339	-0,0292969	3339	0	3339	0,60624
3340	-0,0341797	3340	0	3340	0,70728
3341	-0,0341797	3341	0	3341	0,70728
3342	-0,0341797	3342	0	3342	0,70728
3343	-0,0439453	3343	0	3343	0,90936
3344	-0,0585938	3344	0	3344	1,21248
3345	-0,0244141	3345	0	3345	0,5052
3346	-0,0195313	3346	0	3346	0,40416
3347	0	3347	0	3347	0
3348	0	3348	0	3348	0
3349	-0,00488281	3349	0	3349	0,10104
3350	-0,0146484	3350	0	3350	0,30312
3351	-0,00976563	3351	0	3351	0,20208
3352	-0,00976563	3352	0	3352	0,20208
3353	-0,0244141	3353	0	3353	0,5052
3354	-0,0244141	3354	0	3354	0,5052
3355	-0,0244141	3355	0	3355	0,5052
3356	-0,0244141	3356	0	3356	0,5052
3357	-0,0244141	3357	0	3357	0,5052
3358	-0,0439453	3358	0	3358	0,90936
3359	-0,0488281	3359	0	3359	1,0104
3360	-0,0439453	3360	0	3360	0,90936
3361	-0,0439453	3361	0	3361	0,90936
3362	-0,0488281	3362	0	3362	1,0104
3363	-0,0537109	3363	0	3363	1,11144
3364	-0,00488281	3364	0	3364	0,10104
3365	-0,0195313	3365	0	3365	0,40416
3366	0,0244141	3366	0	3366	-0,5052
3367	0,0195313	3367	0	3367	-0,40416
3368	0,00976563	3368	0	3368	-0,20208
3369	0,00976563	3369	0	3369	-0,20208
3370	0,00976563	3370	0	3370	-0,20208
3371	-0,0341797	3371	0	3371	0,70728
3372	-0,0292969	3372	0	3372	0,60624
3373	-0,0292969	3373	0	3373	0,60624
3374	-0,0537109	3374	0	3374	1,11144
3375	-0,0537109	3375	0	3375	1,11144
3376	-0,0537109	3376	0	3376	1,11144
3377	-0,0390625	3377	0	3377	0,80832
3378	-0,0585938	3378	0	3378	1,21248
3379	-0,0585938	3379	0	3379	1,21248
3380	-0,0585938	3380	0	3380	1,21248
3381	-0,0488281	3381	0	3381	1,0104
3382	-0,0488281	3382	0	3382	1,0104
3383	-0,00488281	3383	0	3383	0,10104
3384	0	3384	0	3384	0
3385	0,0292969	3385	0	3385	-0,60624
3386	0,0292969	3386	0	3386	-0,60624
3387	0,00976563	3387	0	3387	-0,20208
3388	0,00976563	3388	0	3388	-0,20208
3389	0,0146484	3389	0	3389	-0,30312
