Amostra - Velocidade C/AI0+	Amplitude - Velocidade C/AI0+	Amostra - Set-point	Amplitude - Set-point	Amostra - Esf controle	Amplitude - Esf controle
1845	-0,317383	1845	0	1845	9,37856
1846	-0,341797	1846	0	1846	9,5525
1847	-0,341797	1847	0	1847	9,07442
1848	0,0683594	1848	0	1848	-3,24963
1849	0,205078	1849	0	1849	-6,88817
1850	0,336914	1850	0	1850	-10
1851	0,249023	1851	0	1851	-7,05093
1852	0,258789	1852	0	1852	-6,97014
1853	0,253906	1853	0	1853	-6,51384
1854	0,249023	1854	0	1854	-6,12251
1855	-0,283203	1855	0	1855	9,55795
1856	-0,444336	1856	0	1856	10
1857	-0,488281	1857	0	1857	10
1858	-0,493164	1858	0	1858	10
1859	-0,488281	1859	0	1859	10
1860	-0,0244141	1860	0	1860	-1,35967
1861	0,424805	1861	0	1861	-10
1862	0,458984	1862	0	1862	-10
1863	0,390625	1863	0	1863	-10
1864	0,209961	1864	0	1864	-5,36939
1865	0,219727	1865	0	1865	-5,45048
1866	0,209961	1866	0	1866	-4,98456
1867	0,209961	1867	0	1867	-4,85151
1868	-0,268555	1868	0	1868	9,17907
1869	-0,512695	1869	0	1869	10
1870	-0,546875	1870	0	1870	10
1871	-0,546875	1871	0	1871	10
1872	0,0439453	1872	0	1872	-3,05224
1873	0,0439453	1873	0	1873	-2,65912
1874	0,0488281	1874	0	1874	-2,47954
1875	0,146484	1875	0	1875	-5,04971
1876	0,136719	1876	0	1876	-4,38692
1877	0,0341797	1877	0	1877	-1,10957
1878	0,0341797	1878	0	1878	-1,03371
1879	0,0390625	1879	0	1879	-1,11369
1880	0,0244141	1880	0	1880	-0,628885
1881	0,0292969	1881	0	1881	-0,746511
1882	-0,244141	1882	0	1882	7,23659
1883	-0,234375	1883	0	1883	6,53584
1884	-0,249023	1884	0	1884	6,63682
1885	-0,239258	1885	0	1885	6,06309
1886	-0,0634766	1886	0	1886	0,727732
1887	0,166016	1887	0	1887	-5,84756
1888	0,258789	1888	0	1888	-8,09486
1889	0,258789	1889	0	1889	-7,57612
1890	0,141602	1890	0	1890	-3,74229
1891	0,126953	1891	0	1891	-3,15718
1892	0,126953	1892	0	1892	-3,05068
1893	0,126953	1893	0	1893	-2,96355
1894	-0,249023	1894	0	1894	8,04624
1895	-0,263672	1895	0	1895	7,92655
1896	-0,268555	1896	0	1896	7,59845
1897	-0,0488281	1897	0	1897	0,813299
1898	-0,0439453	1898	0	1898	0,703189
1899	0,0927734	1899	0	1899	-3,24046
1900	0,161133	1900	0	1900	-4,98176
1901	0,107422	1901	0	1901	-3,10675
1902	0,12207	1902	0	1902	-3,36367
1903	0,126953	1903	0	1903	-3,3437
1904	0,112305	1904	0	1904	-2,77712
1905	0,117188	1905	0	1905	-2,82783
1906	-0,268555	1906	0	1906	8,47736
1907	-0,258789	1907	0	1907	7,64092
1908	-0,258789	1908	0	1908	7,20471
1909	-0,263672	1909	0	1909	6,98987
1910	-0,0878906	1910	0	1910	1,57592
1911	0,219727	1911	0	1911	-7,33661
1912	0,3125	1912	0	1912	-9,51098
1913	0,273438	1913	0	1913	-7,7961
1914	0,131836	1914	0	1914	-3,26593
1915	0,141602	1915	0	1915	-3,44176
1916	0,131836	1916	0	1916	-3,05335
1917	0,131836	1917	0	1917	-2,98371
1918	-0,27832	1918	0	1918	9,00617
1919	-0,27832	1919	0	1919	8,39366
1920	-0,332031	1920	0	1920	9,45516
1921	-0,366211	1921	0	1921	9,95323
1922	0,0244141	1922	0	1922	-1,87246
1923	0,209961	1923	0	1923	-7,02014
1924	0,361328	1924	0	1924	-10
1925	0,27832	1925	0	1925	-7,85087
1926	0,268555	1926	0	1926	-7,1643
1927	0,268555	1927	0	1927	-6,85072
1928	0,263672	1928	0	1928	-6,45209
1929	-0,288086	1929	0	1929	9,80258
1930	-0,463867	1930	0	1930	10
1931	-0,551758	1931	0	1931	10
1932	-0,561523	1932	0	1932	10
1933	0,00488281	1933	0	1933	-1,88563
1934	0,0146484	1934	0	1934	-1,84488
1935	0,078125	1935	0	1935	-3,41015
1936	0,136719	1936	0	1936	-4,78254
1937	0,136719	1937	0	1937	-4,41649
1938	0,0292969	1938	0	1938	-0,991702
1939	0,0195313	1939	0	1939	-0,635168
1940	0,0146484	1940	0	1940	-0,449553
1941	0,0244141	1941	0	1941	-0,705879
1942	-0,283203	1942	0	1942	8,28223
1943	-0,27832	1943	0	1943	7,67727
1944	-0,263672	1944	0	1944	6,88021
1945	-0,27832	1945	0	1945	7,02647
1946	-0,078125	1946	0	1946	0,949512
1947	0,185547	1947	0	1947	-6,60656
1948	0,302734	1948	0	1948	-9,49809
1949	0,283203	1949	0	1949	-8,31782
1950	0,166016	1950	0	1950	-4,43905
1951	0,175781	1951	0	1951	-4,52746
1952	0,166016	1952	0	1952	-4,06752
1953	0,175781	1953	0	1953	-4,22348
1954	-0,288086	1954	0	1954	9,39262
1955	-0,463867	1955	0	1955	10
1956	-0,463867	1956	0	1956	10
1957	-0,385742	1957	0	1957	10
1958	0,131836	1958	0	1958	-5,36482
1959	0,209961	1959	0	1959	-7,14784
1960	0,3125	1960	0	1960	-9,60469
1961	0,209961	1961	0	1961	-6,02601
1962	0,209961	1962	0	1962	-5,7036
1963	0,219727	1963	0	1963	-5,72393
1964	-0,317383	1964	0	1964	10
1965	-0,322266	1965	0	1965	9,60236
1966	-0,366211	1966	0	1966	10
1967	-0,366211	1967	0	1967	9,79378
1968	-0,366211	1968	0	1968	9,36174
1969	-0,0537109	1969	0	1969	-0,0834694
1970	0,419922	1970	0	1970	-10
1971	0,473633	1971	0	1971	-10
1972	0,366211	1972	0	1972	-10
1973	0,180664	1973	0	1973	-4,37811
1974	0,175781	1974	4	1974	10
1975	0,180664	1975	4	1975	10
1976	0,175781	1976	4	1976	10
1977	0,180664	1977	4	1977	10
1978	0,244141	1978	4	1978	10
1979	0,419922	1979	4	1979	10
1980	0,595703	1980	4	1980	10
1981	0,859375	1981	4	1981	10
1982	1,0498	1982	4	1982	10
1983	1,20605	1983	4	1983	10
1984	1,37695	1984	4	1984	10
1985	1,5332	1985	4	1985	10
1986	1,68945	1986	4	1986	10
1987	1,87988	1987	4	1987	10
1988	2,02148	1988	4	1988	10
1989	2,16309	1989	4	1989	10
1990	2,3291	1990	4	1990	10
1991	2,44141	1991	4	1991	10
1992	2,58301	1992	4	1992	10
1993	2,7832	1993	4	1993	10
1994	2,9248	1994	4	1994	10
1995	3,00293	1995	4	1995	10
1996	3,125	1996	4	1996	10
1997	3,25684	1997	4	1997	8,85486
1998	3,39356	1998	4	1998	6,00412
1999	3,49121	1999	4	1999	4,30467
2000	3,50586	2000	4	2000	4,96956
2001	3,55469	2001	4	2001	4,4652
2002	3,60352	2002	4	2002	3,87273
2003	3,52539	2003	4	2003	6,90167
2004	3,53027	2004	4	2004	7,25262
2005	3,6377	2005	4	2005	4,53855
2006	3,6377	2006	4	2006	5,04763
2007	3,63281	2007	4	2007	5,6062
2008	3,66699	2008	4	2008	4,94474
2009	3,67676	2009	4	2009	4,98795
2010	3,67188	2010	4	2010	5,41352
2011	3,7207	2011	4	2011	4,21705
2012	3,70606	2012	4	2012	4,90507
2013	3,62793	2013	4	2013	7,36869
2014	3,70117	2014	4	2014	5,26828
2015	3,75977	2015	4	2015	3,70621
2016	3,83789	2016	4	2016	1,64414
2017	3,80371	2017	4	2017	2,93662
2018	3,70606	2018	4	2018	5,96673
2019	3,68164	2019	4	2019	6,67468
2020	3,77441	2020	4	2020	3,93442
2021	3,73535	2021	4	2021	5,18631
2022	3,72559	2022	4	2022	5,50209
2023	3,7793	2023	4	2023	3,94966
2024	3,76465	2024	4	2024	4,4705
2025	3,7207	2025	4	2025	5,80294
2026	3,73535	2026	4	2026	5,35026
2027	3,80859	2027	4	2027	3,22124
2028	3,81348	2028	4	2028	3,19839
2029	3,75977	2029	4	2029	4,86642
2030	3,76465	2030	4	2030	4,72428
2031	3,80859	2031	4	2031	3,45353
2032	3,75488	2032	4	2032	5,09315
2033	3,7207	2033	4	2033	6,06423
2034	3,75	2034	4	2034	5,13787
2035	3,75	2035	4	2035	5,12439
2036	3,75977	2036	4	2036	4,82925
2037	3,80859	2037	4	2037	3,41533
2038	3,79883	2038	4	2038	3,78338
2039	3,76465	2039	4	2039	4,83076
2040	3,73535	2040	4	2040	5,67152
2041	3,77441	2041	4	2041	4,4785
2042	3,78418	2042	4	2042	4,21088
2043	3,76465	2043	4	2043	4,8083
2044	3,76953	2044	4	2044	4,65874
2045	3,75977	2045	4	2045	4,94457
2046	3,75977	2046	4	2046	4,93027
