Amostra - Velocidade C/AI0+	Amplitude - Velocidade C/AI0+	Amostra - Set-point	Amplitude - Set-point	Amostra - Esf controle	Amplitude - Esf controle	Amostra - Plot 3	Amplitude - Plot 3
4715	-0,175781	4715	0,0585938	4715	0	4715	-0,0573796
4716	-0,175781	4716	0,0634766	4716	0	4716	-0,0646134
4717	-0,175781	4717	0,0634766	4717	0	4717	-0,0644067
4718	-0,175781	4718	0,0585938	4718	0	4718	-0,0572246
4719	-0,175781	4719	0,0634766	4719	0	4719	-0,0644865
4720	-0,175781	4720	0,0585938	4720	0	4720	-0,0572899
4721	-0,180664	4721	0,0585938	4721	0	4721	-0,057527
4722	-0,175781	4722	0,0585938	4722	0	4722	-0,0577209
4723	-0,175781	4723	0,0585938	4723	0	4723	-0,0578796
4724	-0,180664	4724	0,107422	4724	0	4724	-0,12814
4725	-0,175781	4725	0,0634766	4725	0	4725	-0,0612555
4726	-0,180664	4726	0,0634766	4726	0	4726	-0,0616594
4727	-0,180664	4727	0,0537109	4727	0	4727	-0,0479637
4728	-0,180664	4728	0,0585938	4728	0	4728	-0,0560217
4729	-0,180664	4729	0,0634766	4729	0	4729	-0,0635024
4730	-0,175781	4730	0,0634766	4730	0	4730	-0,0634977
4731	-0,175781	4731	0,0634766	4731	0	4731	-0,0634939
4732	-0,180664	4732	0,0585938	4732	0	4732	-0,0564777
4733	-0,180664	4733	0,0634766	4733	0	4733	-0,0638755
4734	-0,175781	4734	0,0634766	4734	0	4734	-0,0638029
4735	-0,175781	4735	0,0585938	4735	0	4735	-0,0567306
4736	-0,175781	4736	0,0585938	4736	0	4736	-0,0570693
4737	-0,175781	4737	0,0585938	4737	0	4737	-0,0573465
4738	-0,180664	4738	0,0683594	4738	0	4738	-0,0715993
4739	-0,180664	4739	0,0585938	4739	0	4739	-0,0569842
4740	-0,170898	4740	0,0585938	4740	0	4740	-0,0572769
4741	-0,180664	4741	0,0683594	4741	0	4741	-0,0715423
4742	-0,175781	4742	0,0585938	4742	0	4742	-0,0569376
4743	-0,175781	4743	0,0634766	4743	0	4743	-0,0642517
4744	-0,19043	4744	0,0585938	4744	0	4744	-0,0570978
4745	-0,175781	4745	0,0585938	4745	0	4745	-0,0573698
4746	-0,185547	4746	0,0634766	4746	0	4746	-0,0646053
4747	-0,175781	4747	0,0634766	4747	0	4747	-0,0644001
4748	-0,175781	4748	0,0634766	4748	0	4748	-0,0642322
4749	-0,175781	4749	0,0585938	4749	0	4749	-0,0570818
4750	-0,166016	4750	0,0634766	4750	0	4750	-0,0643697
4751	-0,175781	4751	0,0634766	4751	0	4751	-0,0642073
4752	-0,175781	4752	0,0585938	4752	0	4752	-0,0570614
4753	-0,180664	4753	0,0634766	4753	0	4753	-0,0643531
4754	-0,175781	4754	0,0634766	4754	0	4754	-0,0641937
4755	-0,175781	4755	0,0585938	4755	0	4755	-0,0570503
4756	-0,180664	4756	0,0683594	4756	0	4756	-0,071357
4757	-0,175781	4757	0,0634766	4757	0	4757	-0,0637989
4758	-0,175781	4758	0,0585938	4758	0	4758	-0,0567273
4759	-0,175781	4759	0,0585938	4759	0	4759	-0,0570667
4760	-0,180664	4760	0,0585938	4760	0	4760	-0,0573443
4761	-0,180664	4761	0,0585938	4761	0	4761	-0,0575715
4762	-0,175781	4762	0,0683594	4762	0	4762	-0,0717834
4763	-0,175781	4763	0,0634766	4763	0	4763	-0,0641478
4764	-0,175781	4764	0,0585938	4764	0	4764	-0,0570128
4765	-0,180664	4765	0,0634766	4765	0	4765	-0,0643132
4766	-0,180664	4766	0,0585938	4766	0	4766	-0,0571481
4767	-0,175781	4767	0,0634766	4767	0	4767	-0,064424
4768	-0,185547	4768	0,0585938	4768	0	4768	-0,0572387
4769	-0,175781	4769	0,0585938	4769	0	4769	-0,0574851
4770	-0,180664	4770	0,0634766	4770	0	4770	-0,0646997
4771	-0,170898	4771	0,0585938	4771	0	4771	-0,0574643
4772	-0,170898	4772	0,0634766	4772	0	4772	-0,0646826
4773	-0,175781	4773	0,0634766	4773	0	4773	-0,0644634
4774	-0,175781	4774	0,0585938	4774	0	4774	-0,0572709
4775	-0,180664	4775	0,0634766	4775	0	4775	-0,0645245
4776	-0,175781	4776	0,0585938	4776	0	4776	-0,0573209
4777	-0,175781	4777	0,0634766	4777	0	4777	-0,0645654
4778	-0,175781	4778	0,0634766	4778	0	4778	-0,0643674
4779	-0,161133	4779	0,0585938	4779	0	4779	-0,0571924
4780	-0,180664	4780	0,0634766	4780	0	4780	-0,0644602
4781	-0,175781	4781	0,0585938	4781	0	4781	-0,0572684
4782	-0,180664	4782	0,0634766	4782	0	4782	-0,0645224
4783	-0,175781	4783	0,0634766	4783	0	4783	-0,0643322
4784	-0,175781	4784	0,0634766	4784	0	4784	-0,0641766
4785	-0,180664	4785	0,0634766	4785	0	4785	-0,0640493
4786	-0,170898	4786	0,0634766	4786	0	4786	-0,0639452
4787	-0,180664	4787	0,0634766	4787	0	4787	-0,06386
4788	-0,175781	4788	0,0634766	4788	0	4788	-0,0637903
4789	-0,180664	4789	0,0488281	4789	0	4789	-0,0426942
4790	-0,175781	4790	0,0683594	4790	0	4790	-0,0718615
4791	-0,170898	4791	0,0634766	4791	0	4791	-0,0642118
4792	-0,180664	4792	0,0634766	4792	0	4792	-0,0640781
4793	-0,175781	4793	0,0634766	4793	0	4793	-0,0639687
4794	-0,161133	4794	0,0585938	4794	0	4794	-0,0568662
4795	-0,180664	4795	0,0634766	4795	0	4795	-0,0641933
4796	-0,175781	4796	0,0585938	4796	0	4796	-0,05705
4797	-0,180664	4797	0,0585938	4797	0	4797	-0,0573307
4798	-0,180664	4798	0,0585938	4798	0	4798	-0,0575603
4799	-0,175781	4799	0,0634766	4799	0	4799	-0,0647613
4800	-0,180664	4800	0,0634766	4800	0	4800	-0,0645277
4801	-0,170898	4801	0,0634766	4801	0	4801	-0,0643366
4802	-0,180664	4802	0,0634766	4802	0	4802	-0,0641802
4803	-0,175781	4803	0,0634766	4803	4	4803	5,68101
4804	-0,175781	4804	0,0634766	4804	4	4804	5,36382
4805	-0,166016	4805	0,0683594	4805	4	4805	5,0973
4806	-0,15625	4806	0,0830078	4806	4	4806	4,86431
4807	0,0146484	4807	0,12207	4807	4	4807	4,63597
4808	0,180664	4808	0,170898	4808	4	4808	4,42801
4809	0,273438	4809	0,234375	4809	4	4809	4,22794
4810	0,366211	4810	0,302734	4810	4	4810	4,0457
4811	0,439453	4811	0,390625	4811	4	4811	3,85611
4812	0,546875	4812	0,463867	4812	4	4812	3,70606
4813	0,629883	4813	0,576172	4813	4	4813	3,51386
4814	0,678711	4814	0,688477	4814	4	4814	3,33619
4815	0,712891	4815	0,795899	4815	4	4815	3,17742
4816	0,78125	4816	0,90332	4816	4	4816	3,02798
4817	0,81543	4817	1,06445	4817	4	4817	2,80905
4818	0,864258	4818	1,15723	4818	4	4818	2,6988
4819	0,878906	4819	1,29395	4819	4	4819	2,52861
4820	0,888672	4820	1,42578	4820	4	4820	2,37152
4821	0,917969	4821	1,5625	4821	4	4821	2,21201
4822	0,947266	4822	1,69434	4822	4	4822	2,06366
4823	0,966797	4823	1,82617	4823	4	4823	1,91831
4824	0,957031	4824	1,97754	4824	4	4824	1,74737
4825	0,9375	4825	2,11914	4825	4	4825	1,59401
4826	0,97168	4826	2,27539	4826	4	4826	1,42175
4827	0,97168	4827	2,41699	4827	4	4827	1,27344
4828	0,961914	4828	2,56348	4828	4	4828	1,11933
4829	0,957031	4829	2,7002	4829	4	4829	0,98064
4830	0,9375	4830	2,83691	4830	4	4830	0,842307
4831	0,922852	4831	2,9834	4831	4	4831	0,690241
4832	0,90332	4832	3,10059	4832	4	4832	0,581268
4833	0,888672	4833	3,24707	4833	4	4833	0,428724
4834	0,883789	4834	3,37891	4834	4	4834	0,29832
4835	0,869141	4835	3,48633	4835	4	4835	0,202721
4836	0,834961	4836	3,64258	4836	4	4836	0,0348423
4837	0,81543	4837	3,76465	4837	4	4837	-0,0818311
4838	0,756836	4838	3,88184	4838	4	4838	-0,192473
4839	0,761719	4839	3,97949	4839	4	4839	-0,276252
4840	0,742188	4840	4,10156	4840	4	4840	-0,39762
4841	0,683594	4841	4,22852	4841	4	4841	-0,526129
4842	0,668945	4842	4,32129	4842	4	4842	-0,605264
4843	0,625	4843	4,41895	4843	4	4843	-0,693891
4844	0,571289	4844	4,52148	4844	4	4844	-0,791173
4845	0,532227	4845	4,61914	4845	4	4845	-0,882398
4846	0,517578	4846	4,69727	4846	4	4846	-0,946741
4847	0,458984	4847	4,76563	4847	4	4847	-0,999563
4848	0,43457	4848	4,8584	4848	4	4848	-1,09028
4849	0,375977	4849	4,90723	4849	4	4849	-1,11824
4850	0,34668	4850	4,99512	4850	4	4850	-1,20611
4851	0,317383	4851	5,03906	4851	4	4851	-1,23087
4852	0,297852	4852	5,09277	4852	4	4852	-1,27313
4853	0,258789	4853	5,14648	4853	4	4853	-1,31748
4854	0,219727	4854	5,19043	4854	4	4854	-1,34951
4855	0,180664	4855	5,22949	4855	4	4855	-1,37669
4856	0,131836	4856	5,25391	4856	4	4856	-1,38499
4857	0,131836	4857	5,29297	4857	4	4857	-1,41726
4858	0,0683594	4858	5,31738	4858	4	4858	-1,42973
