tempo	vel	tempo	pos	tempo	in	tempo	esf
4665	-0,0634766	4665	0,27832	4665	0	4665	-0,159215
4666	-0,0585938	4666	0,288086	4666	0	4666	-0,197672
4667	-0,0634766	4667	0,263672	4667	0	4667	-0,104039
4668	-0,0634766	4668	0,283203	4668	0	4668	-0,186698
4669	-0,0585938	4669	0,283203	4669	0	4669	-0,184748
4670	-0,0683594	4670	0,288086	4670	0	4670	-0,201199
4671	-0,0634766	4671	0,283203	4671	0	4671	-0,179179
4672	-0,0634766	4672	0,288086	4672	0	4672	-0,196606
4673	-0,0683594	4673	0,283203	4673	0	4673	-0,175392
4674	-0,0683594	4674	0,283203	4674	0	4674	-0,175426
4675	-0,0585938	4675	0,283203	4675	0	4675	-0,175454
4676	-0,0634766	4676	0,283203	4676	0	4676	-0,175477
4677	-0,0634766	4677	0,283203	4677	0	4677	-0,175496
4678	-0,0634766	4678	0,297852	4678	0	4678	-0,229685
4679	-0,0634766	4679	0,283203	4679	0	4679	-0,167614
4680	-0,0634766	4680	0,288086	4680	0	4680	-0,187071
4681	-0,0634766	4681	0,283203	4681	0	4681	-0,167529
4682	-0,0585938	4682	0,283203	4682	0	4682	-0,168942
4683	-0,0683594	4683	0,283203	4683	0	4683	-0,170108
4684	-0,0634766	4684	0,283203	4684	0	4684	-0,171069
4685	-0,0634766	4685	0,283203	4685	0	4685	-0,171861
4686	-0,0683594	4686	0,288086	4686	0	4686	-0,190573
4687	-0,0634766	4687	0,283203	4687	0	4687	-0,170417
4688	-0,0634766	4688	0,27832	4688	0	4688	-0,153266
4689	-0,0585938	4689	0,288086	4689	0	4689	-0,192766
4690	-0,0683594	4690	0,288086	4690	0	4690	-0,190283
4691	-0,0683594	4691	0,283203	4691	0	4691	-0,170178
4692	-0,0634766	4692	0,283203	4692	0	4692	-0,171127
4693	-0,0634766	4693	0,27832	4693	0	4693	-0,153851
4694	-0,0585938	4694	0,288086	4694	0	4694	-0,193249
4695	-0,0634766	4695	0,283203	4695	0	4695	-0,172623
4696	-0,0634766	4696	0,283203	4696	0	4696	-0,173143
4697	-0,0634766	4697	0,288086	4697	0	4697	-0,19163
4698	-0,0634766	4698	0,288086	4698	0	4698	-0,189346
4699	-0,0585938	4699	0,288086	4699	0	4699	-0,187463
4700	-0,0634766	4700	0,283203	4700	0	4700	-0,167853
4701	-0,0732422	4701	0,288086	4701	0	4701	-0,187267
4702	-0,0634766	4702	0,288086	4702	0	4702	-0,185749
4703	-0,0634766	4703	0,283203	4703	0	4703	-0,166439
4704	-0,0634766	4704	0,288086	4704	0	4704	-0,186102
4705	-0,0683594	4705	0,288086	4705	0	4705	-0,184788
4706	-0,0634766	4706	0,283203	4706	0	4706	-0,165647
4707	-0,0585938	4707	0,27832	4707	0	4707	-0,149333
4708	-0,0634766	4708	0,283203	4708	0	4708	-0,171465
4709	-0,0683594	4709	0,283203	4709	0	4709	-0,172188
4710	-0,0634766	4710	0,283203	4710	0	4710	-0,172784
4711	-0,0634766	4711	0,283203	4711	0	4711	-0,173276
4712	-0,0634766	4712	0,283203	4712	0	4712	-0,173681
4713	-0,0683594	4713	0,283203	4713	0	4713	-0,174015
4714	-0,0634766	4714	0,283203	4714	0	4714	-0,174291
4715	-0,0683594	4715	0,283203	4715	0	4715	-0,174518
4716	-0,0585938	4716	0,288086	4716	0	4716	-0,192763
4717	-0,0585938	4717	0,283203	4717	0	4717	-0,172223
4718	-0,0634766	4718	0,288086	4718	0	4718	-0,190871
4719	-0,0634766	4719	0,283203	4719	0	4719	-0,170663
4720	-0,0634766	4720	0,283203	4720	0	4720	-0,171526
