Amostra - Velocidade C/AI0+	Amplitude - Velocidade C/AI0+	Amostra - Set-point	Amplitude - Set-point	Amostra - Esf controle	Amplitude - Esf controle	Amostra - Plot 3	Amplitude - Plot 3
3194	-0,166016	3194	-0,12207	3194	-0,052356	3194	0,036519
3195	-0,170898	3195	-0,12207	3195	-0,052356	3195	0,0376951
3196	-0,166016	3196	-0,126953	3196	-0,052356	3196	0,0567227
3197	-0,161133	3197	-0,117188	3197	-0,052356	3197	0,0187697
3198	-0,170898	3198	-0,126953	3198	-0,052356	3198	0,0586443
3199	-0,166016	3199	-0,12207	3199	-0,052356	3199	0,0384121
3200	-0,15625	3200	-0,126953	3200	-0,052356	3200	0,0573139
3201	-0,170898	3201	-0,12207	3201	-0,052356	3201	0,0373151
3202	-0,166016	3202	-0,126953	3202	-0,052356	3202	0,0564094
3203	-0,166016	3203	-0,126953	3203	-0,052356	3203	0,0546271
3204	-0,166016	3204	-0,12207	3204	-0,052356	3204	0,0350996
3205	-0,166016	3205	-0,126953	3205	-0,052356	3205	0,0545826
3206	-0,166016	3206	-0,12207	3206	-0,052356	3206	0,0350629
3207	-0,170898	3207	-0,12207	3207	-0,052356	3207	0,0364945
3208	-0,161133	3208	-0,126953	3208	-0,052356	3208	0,0557327
3209	-0,166016	3209	-0,12207	3209	-0,052356	3209	0,0360113
3210	-0,161133	3210	-0,12207	3210	-0,052356	3210	0,0372765
3211	-0,170898	3211	-0,12207	3211	-0,052356	3211	0,0383197
3212	-0,15625	3212	-0,12207	3212	-0,052356	3212	0,0391799
3213	-0,166016	3213	-0,126953	3213	-0,052356	3213	0,057947
3214	-0,166016	3214	-0,126953	3214	-0,052356	3214	0,055895
3215	-0,161133	3215	-0,12207	3215	-0,052356	3215	0,0361451
3216	-0,166016	3216	-0,12207	3216	-0,052356	3216	0,0373868
3217	-0,195313	3217	-0,126953	3217	-0,052356	3217	0,0564685
3218	-0,170898	3218	-0,12207	3218	-0,052356	3218	0,036618
3219	-0,170898	3219	-0,126953	3219	-0,052356	3219	0,0558346
3220	-0,166016	3220	-0,126953	3220	-0,052356	3220	0,0541531
3221	-0,166016	3221	-0,117188	3221	-0,052356	3221	0,016651
3222	-0,170898	3222	-0,126953	3222	-0,052356	3222	0,0568973
3223	-0,166016	3223	-0,12207	3223	-0,052356	3223	0,0369715
3224	-0,166016	3224	-0,12207	3224	-0,052356	3224	0,0380682
3225	-0,166016	3225	-0,12207	3225	-0,052356	3225	0,0389726
3226	-0,166016	3226	-0,126953	3226	-0,052356	3226	0,0577761
3227	-0,161133	3227	-0,126953	3227	-0,052356	3227	0,055754
3228	-0,170898	3228	-0,12207	3228	-0,052356	3228	0,0360288
3229	-0,161133	3229	-0,12207	3229	-0,052356	3229	0,0372909
3230	-0,170898	3230	-0,117188	3230	-0,052356	3230	0,0202738
3231	-0,161133	3231	-0,136719	3231	-0,052356	3231	0,0960002
3232	-0,166016	3232	-0,126953	3232	-0,052356	3232	0,0522187
3233	-0,170898	3233	-0,126953	3233	-0,052356	3233	0,0511716
3234	-0,166016	3234	-0,126953	3234	-0,052356	3234	0,0503082
3235	-0,166016	3235	-0,12207	3235	-0,052356	3235	0,0315384
3236	-0,166016	3236	-0,126953	3236	-0,052356	3236	0,0516462
3237	-0,170898	3237	-0,131836	3237	-0,052356	3237	0,0687573
3238	-0,166016	3238	-0,12207	3238	-0,052356	3238	0,0292242
3239	-0,166016	3239	-0,126953	3239	-0,052356	3239	0,0497379
3240	-0,166016	3240	-0,12207	3240	-0,052356	3240	0,0310682
3241	-0,166016	3241	-0,12207	3241	-0,052356	3241	0,0332006
3242	-0,166016	3242	-0,126953	3242	-0,052356	3242	0,0530167
3243	-0,170898	3243	-0,126953	3243	-0,052356	3243	0,0518296
3244	-0,166016	3244	-0,126953	3244	-0,052356	3244	0,0508508
3245	-0,166016	3245	-0,126953	3245	-0,052356	3245	0,0500437
3246	-0,166016	3246	-0,126953	3246	-0,052356	3246	0,0493781
3247	-0,166016	3247	-0,12207	3247	-0,052356	3247	0,0307715
3248	-0,161133	3248	-0,126953	3248	-0,052356	3248	0,0510138
3249	-0,166016	3249	-0,117188	3249	-0,052356	3249	0,0140624
3250	-0,170898	3250	-0,126953	3250	-0,052356	3250	0,0547629
3251	-0,170898	3251	-0,12207	3251	-0,052356	3251	0,0352116
